65	英超	2023-12-16 23:00	切尔西	-2	谢菲尔德联	2:0	2	5.49
66	英超	2023-12-16 23:00	曼彻斯特城	-2	水晶宫	2:2	4	4.95
67	英超	2023-12-16 23:00	纽卡斯尔联	0	富勒姆	3:0	3	4.39
68	英超	2023-12-16 04:00	诺丁汉森林	+1	托特纳姆热刺	0:2	2	5.16
69	英超	2023-12-11 00:30	托特纳姆热刺	0	纽卡斯尔联	4:1	5	9.15
70	英超	2023-12-10 22:00	埃弗顿	0	切尔西	2:0	2	3.99
71	英超	2023-12-10 22:00	富勒姆	0	西汉姆联	5:0	5	18.87
72	英超	2023-12-10 22:00	卢顿	+2	曼彻斯特城	1:2	3	4.51
73	英超	2023-12-10 01:30	阿斯顿维拉	0	阿森纳	1:0	1	11.37
74	英超	2023-12-09 23:00	布莱顿	-1	伯恩利	1:1	2	4.79
75	英超	2023-12-09 23:00	曼彻斯特联	-1	AFC伯恩茅斯	0:3	3	3.99
76	英超	2023-12-09 23:00	谢菲尔德联	+1	布伦特福德	1:0	1	6.72
77	英超	2023-12-09 23:00	狼队	-1	诺丁汉森林	1:1	2	3.40
78	英超	2023-12-09 20:30	水晶宫	+1	利物浦	1:2	3	2.73
79	英超	2023-12-08 04:15	托特纳姆热刺	-1	西汉姆联	1:2	3	3.93
80	英超	2023-12-08 03:30	埃弗顿	0	纽卡斯尔联	3:0	3	5.46
81	英超	2023-12-07 04:15	阿斯顿维拉	+1	曼彻斯特城	1:0	1	8.23
82	英超	2023-12-07 04:15	曼彻斯特联	0	切尔西	2:1	3	5.24
83	英超	2023-12-07 03:30	布莱顿	0	布伦特福德	2:1	3	3.82
84	英超	2023-12-07 03:30	富勒姆	0	诺丁汉森林	5:0	5	18.03
85	英超	2023-12-07 03:30	谢菲尔德联	+2	利物浦	0:2	2	7.90
86	英超	2023-12-07 03:30	水晶宫	0	AFC伯恩茅斯	0:2	2	3.26
87	英超	2023-12-06 04:15	卢顿	+2	阿森纳	3:4	7	30.58
88	英超	2023-12-06 03:30	狼队	-1	伯恩利	1:0	1	5.97
89	英超	2023-12-04 00:30	曼彻斯特城	-2	托特纳姆热刺	3:3	6	8.33
90	英超	2023-12-03 22:00	AFC伯恩茅斯	+1	阿斯顿维拉	2:2	4	5.23
91	英超	2023-12-03 22:00	切尔西	-1	布莱顿	3:2	5	8.56
92	英超	2023-12-03 22:00	利物浦	-2	富勒姆	4:3	7+	24.05
93	英超	2023-12-03 22:00	西汉姆联	0	水晶宫	1:1	2	5.68
94	英超	2023-12-03 04:00	纽卡斯尔联	0	曼彻斯特联	1:0	1	8.30
95	英超	2023-12-03 01:30	诺丁汉森林	0	埃弗顿	0:1	1	5.88
96	英超	2023-12-02 23:00	阿森纳	-2	狼队	2:1	3	3.40
97	英超	2023-12-02 23:00	布伦特福德	-1	卢顿	3:1	4	5.14
98	英超	2023-12-02 23:00	伯恩利	0	谢菲尔德联	5:0	5	16.37
99	英超	2023-11-28 04:00	富勒姆	0	狼队	3:2	5	15.72
100	英超	2023-11-27 00:30	埃弗顿	0	曼彻斯特联	0:3	3	4.46
101	英超	2023-11-26 22:00	托特纳姆热刺	0	阿斯顿维拉	1:2	3	4.24
102	英超	2023-11-26 01:30	布伦特福德	+1	阿森纳	0:1	1	12.83
103	英超	2023-11-25 23:00	伯恩利	+1	西汉姆联	1:2	3	3.53
104	英超	2023-11-25 23:00	卢顿	0	水晶宫	2:1	3	3.37
105	英超	2023-11-25 23:00	纽卡斯尔联	0	切尔西	4:1	5	12.94
106	英超	2023-11-25 23:00	诺丁汉森林	0	布莱顿	2:3	5	9.80
107	英超	2023-11-25 23:00	谢菲尔德联	0	AFC伯恩茅斯	1:3	4	4.47
108	英超	2023-11-25 20:30	曼彻斯特城	-1	利物浦	1:1	2	5.01
109	英超	2023-11-13 00:30	切尔西	+1	曼彻斯特城	4:4	8	25.79
110	英超	2023-11-12 22:00	阿斯顿维拉	-1	富勒姆	3:1	4	5.03
111	英超	2023-11-12 22:00	布莱顿	-2	谢菲尔德联	1:1	2	5.48
112	英超	2023-11-12 22:00	利物浦	-1	布伦特福德	3:0	3	4.15
113	英超	2023-11-12 22:00	西汉姆联	0	诺丁汉森林	3:2	5	14.49
114	英超	2023-11-12 01:30	AFC伯恩茅斯	+1	纽卡斯尔联	2:0	2	5.09
115	英超	2023-11-11 23:00	阿森纳	-2	伯恩利	3:1	4	4.76
116	英超	2023-11-11 23:00	水晶宫	0	埃弗顿	2:3	5	18.77
117	英超	2023-11-11 23:00	曼彻斯特联	-1	卢顿	1:0	1	11.70
118	英超	2023-11-11 20:30	狼队	0	托特纳姆热刺	2:1	3	4.65
119	英超	2023-11-07 04:00	托特纳姆热刺	0	切尔西	1:4	5	11.96
120	英超	2023-11-06 00:30	卢顿	+2	利物浦	1:1	2	7.67
121	英超	2023-11-05 22:00	诺丁汉森林	+1	阿斯顿维拉	2:0	2	4.52
122	英超	2023-11-05 01:30	纽卡斯尔联	0	阿森纳	1:0	1	7.76
123	英超	2023-11-04 23:00	布伦特福德	0	西汉姆联	3:2	5	12.92
124	英超	2023-11-04 23:00	伯恩利	0	水晶宫	0:2	2	4.44
125	英超	2023-11-04 23:00	埃弗顿	0	布莱顿	1:1	2	5.01
126	英超	2023-11-04 23:00	曼彻斯特城	-3	AFC伯恩茅斯	6:1	7	11.19
127	英超	2023-11-04 23:00	谢菲尔德联	+1	狼队	2:1	3	4.58
128	英超	2023-11-04 20:30	富勒姆	0	曼彻斯特联	0:1	1	6.13
129	英超	2023-10-29 23:30	曼彻斯特联	+1	曼彻斯特城	0:3	3	4.22
130	英超	2023-10-29 22:00	阿斯顿维拉	-2	卢顿	3:1	4	4.79
131	英超	2023-10-29 22:00	布莱顿	-1	富勒姆	1:1	2	5.28
132	英超	2023-10-29 22:00	利物浦	-2	诺丁汉森林	3:0	3	4.18
133	英超	2023-10-29 21:00	西汉姆联	0	埃弗顿	0:1	1	6.95
134	英超	2023-10-29 00:30	狼队	+1	纽卡斯尔联	2:2	4	6.24
135	英超	2023-10-28 22:00	阿森纳	-2	谢菲尔德联	5:0	5	5.05
136	英超	2023-10-28 22:00	AFC伯恩茅斯	0	伯恩利	2:1	3	4.49
137	英超	2023-10-28 19:30	切尔西	-1	布伦特福德	0:2	2	4.20
138	英超	2023-10-28 03:00	水晶宫	+1	托特纳姆热刺	1:2	3	4.17
139	英超	2023-10-24 03:00	托特纳姆热刺	-1	富勒姆	2:0	2	4.17
140	英超	2023-10-22 23:30	阿斯顿维拉	0	西汉姆联	4:1	5	8.57
141	英超	2023-10-22 03:00	谢菲尔德联	+1	曼彻斯特联	1:2	3	4.13
142	英超	2023-10-22 00:30	切尔西	0	阿森纳	2:2	4	5.36
143	英超	2023-10-21 22:00	AFC伯恩茅斯	0	狼队	1:2	3	3.85
144	英超	2023-10-21 22:00	布伦特福德	0	伯恩利	3:0	3	3.61
145	英超	2023-10-21 22:00	曼彻斯特城	-1	布莱顿	2:1	3	3.84
146	英超	2023-10-21 22:00	纽卡斯尔联	-1	水晶宫	4:0	4	6.71
147	英超	2023-10-21 22:00	诺丁汉森林	-1	卢顿	2:2	4	7.33
148	英超	2023-10-21 19:30	利物浦	-2	埃弗顿	2:0	2	5.00
149	英超	2023-10-08 23:30	阿森纳	0	曼彻斯特城	1:0	1	10.80
150	英超	2023-10-08 21:00	布莱顿	0	利物浦	2:2	4	4.28
151	英超	2023-10-08 21:00	西汉姆联	0	纽卡斯尔联	2:2	4	4.83
152	英超	2023-10-08 21:00	狼队	0	阿斯顿维拉	1:1	2	4.73
153	英超	2023-10-08 00:30	水晶宫	0	诺丁汉森林	0:0	0	9.25
154	英超	2023-10-07 22:00	伯恩利	+1	切尔西	1:4	5	11.78
155	英超	2023-10-07 22:00	埃弗顿	0	AFC伯恩茅斯	3:0	3	5.06
156	英超	2023-10-07 22:00	富勒姆	-1	谢菲尔德联	3:1	4	4.89
157	英超	2023-10-07 22:00	曼彻斯特联	-1	布伦特福德	2:1	3	5.28
158	英超	2023-10-07 19:30	卢顿	+1	托特纳姆热刺	0:1	1	9.76
159	英超	2023-10-04 02:30	卢顿	0	伯恩利	1:2	3	3.95
160	英超	2023-10-03 03:00	富勒姆	0	切尔西	0:2	2	3.58
161	英超	2023-10-01 21:00	诺丁汉森林	0	布伦特福德	1:1	2	4.21
162	英超	2023-10-01 00:30	托特纳姆热刺	0	利物浦	2:1	3	4.71
163	英超	2023-09-30 22:00	AFC伯恩茅斯	+1	阿森纳	0:4	4	5.45
164	英超	2023-09-30 22:00	埃弗顿	-1	卢顿	1:2	3	5.20
165	英超	2023-09-30 22:00	曼彻斯特联	-1	水晶宫	0:1	1	8.08
166	英超	2023-09-30 22:00	纽卡斯尔联	-2	伯恩利	2:0	2	5.58
167	英超	2023-09-30 22:00	西汉姆联	-1	谢菲尔德联	2:0	2	3.88
168	英超	2023-09-30 22:00	狼队	+2	曼彻斯特城	2:1	3	4.44
169	英超	2023-09-30 19:30	阿斯顿维拉	0	布莱顿	6:1	7	38.30
170	英超	2023-09-24 23:30	谢菲尔德联	+1	纽卡斯尔联	0:8	8	16.09
171	英超	2023-09-24 21:00	阿森纳	-1	托特纳姆热刺	2:2	4	4.89
172	英超	2023-09-24 21:00	布莱顿	-1	AFC伯恩茅斯	3:1	4	4.30
173	英超	2023-09-24 21:00	切尔西	0	阿斯顿维拉	0:1	1	11.21
